file,file_size,transfer_time(ns),start_time,end_time
test333,522240,33498700,2023-08-05 16:21:31.689,2023-08-05 16:21:31.723
test334,541696,36395300,2023-08-05 16:21:31.723,2023-08-05 16:21:31.761
test335,542720,33948900,2023-08-05 16:21:31.761,2023-08-05 16:21:31.795
test336,545792,35624600,2023-08-05 16:21:31.795,2023-08-05 16:21:31.830
test337,553984,38573800,2023-08-05 16:21:31.831,2023-08-05 16:21:31.870
test338,562176,35623600,2023-08-05 16:21:31.871,2023-08-05 16:21:31.906
test339,563200,36302800,2023-08-05 16:21:31.907,2023-08-05 16:21:31.945
test340,565248,36052800,2023-08-05 16:21:31.945,2023-08-05 16:21:31.981
test341,568320,39157000,2023-08-05 16:21:31.982,2023-08-05 16:21:32.021
test342,592896,37851000,2023-08-05 16:21:32.022,2023-08-05 16:21:32.060
test343,598016,39314400,2023-08-05 16:21:32.060,2023-08-05 16:21:32.100
test344,603136,38705700,2023-08-05 16:21:32.100,2023-08-05 16:21:32.139
test345,605184,38278500,2023-08-05 16:21:32.141,2023-08-05 16:21:32.179
test346,608256,40114200,2023-08-05 16:21:32.180,2023-08-05 16:21:32.220
test347,612352,51680700,2023-08-05 16:21:32.221,2023-08-05 16:21:32.273
test348,621568,51604700,2023-08-05 16:21:32.274,2023-08-05 16:21:32.327
test349,634880,40309500,2023-08-05 16:21:32.327,2023-08-05 16:21:32.367
test350,641024,43827000,2023-08-05 16:21:32.368,2023-08-05 16:21:32.412
test351,665600,41927200,2023-08-05 16:21:32.413,2023-08-05 16:21:32.455
test352,677888,48785200,2023-08-05 16:21:32.456,2023-08-05 16:21:32.505
test353,690176,44918200,2023-08-05 16:21:32.505,2023-08-05 16:21:32.550
test354,699392,45191900,2023-08-05 16:21:32.551,2023-08-05 16:21:32.597
test355,710656,45276900,2023-08-05 16:21:32.597,2023-08-05 16:21:32.644
test356,711680,47827900,2023-08-05 16:21:32.644,2023-08-05 16:21:32.692
test357,716800,46719200,2023-08-05 16:21:32.695,2023-08-05 16:21:32.743
test358,723968,48725800,2023-08-05 16:21:32.743,2023-08-05 16:21:32.792
test359,727040,47400300,2023-08-05 16:21:32.792,2023-08-05 16:21:32.840
test360,747520,47785800,2023-08-05 16:21:32.841,2023-08-05 16:21:32.890
test361,748544,52229300,2023-08-05 16:21:32.890,2023-08-05 16:21:32.942
test362,753664,48099500,2023-08-05 16:21:32.942,2023-08-05 16:21:32.990
test363,763904,58363700,2023-08-05 16:21:32.991,2023-08-05 16:21:33.049
test364,777216,49815700,2023-08-05 16:21:33.050,2023-08-05 16:21:33.100
test365,782336,50181900,2023-08-05 16:21:33.101,2023-08-05 16:21:33.151
test366,784384,50691100,2023-08-05 16:21:33.152,2023-08-05 16:21:33.203
test367,785408,49248100,2023-08-05 16:21:33.204,2023-08-05 16:21:33.253
test368,787456,49629800,2023-08-05 16:21:33.254,2023-08-05 16:21:33.304
test369,807936,55801600,2023-08-05 16:21:33.306,2023-08-05 16:21:33.361
test370,812032,51761200,2023-08-05 16:21:33.362,2023-08-05 16:21:33.414
